"strain","library","condition","total","passing","dropped","to_few"
"19F","L3","CDM-Valine",153358,8.67251789929446,7.34686159183088,91.4741976290771
"19F","L4","CDM",130289,3.60813268963612,14.7541235253935,96.4770625302213
"19F","L4","MMCDM",131180,5.9772831224272,14.0173806982772,94.1309650861412
"19F","L4","CDM-CaPantothenate",158500,11.4813880126183,6.31230283911672,88.6927444794953
"19F","L4","CDM-Uracil",140976,7.26364771308591,9.19092611508342,92.851974804222
"19F","L4","CDM-Glycine",145170,7.02762278707722,8.86615691947372,93.1149686574361
"19F","L4","CDM-Isoleucine",146760,8.54933224311802,9.5918506405015,91.5821749795585
"19F","L4","CDM-Valine",144962,8.59880520412246,8.46359735654861,91.5577875581187
"19F","L5","CDM",154148,3.21638944391105,18.1338713444222,96.854321820588
"19F","L5","MMCDM",147167,3.70803237138761,18.1440132638431,96.3728281476146
"19F","L5","CDM-CaPantothenate",162323,10.941764260148,8.36911589854796,89.210401483462
"19F","L5","CDM-Uracil",159557,11.8377758418622,7.76901044767701,88.334576358292
"19F","L5","CDM-Glycine",152415,8.65072335400059,13.3569530558016,91.5008365318374
"19F","L5","CDM-Isoleucine",185919,6.55608087392897,38.0843270456489,93.4589794480392
"19F","L5","CDM-Valine",153144,9.17110693203782,12.4444966828606,90.9823434153476
"19F","L6","CDM",122331,2.83738381930991,30.7738839705389,97.2206554348448
"19F","L6","MMCDM",121566,6.24516723425958,19.2652550877713,93.8699965450866
"19F","L6","CDM-CaPantothenate",136507,12.9619726460914,14.7882526170819,87.1874702396214
"19F","L6","CDM-Uracil",127083,9.87543573884784,15.6393852836335,90.3000401312528
"19F","L6","CDM-Glycine",126937,8.42543939119406,18.0995296879554,91.7392092140196
"19F","L6","CDM-Isoleucine",187900,8.12240553485897,23.0548163916977,91.9505055880788
"19F","L6","CDM-Valine",140485,12.5230451649642,14.4677367690501,87.6243015268534
